date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:26	106072/106072	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2007%20Mar%202023%2017:51:46%20GMT	https://time.com/dist/article.js	C:/HTTrack/time/time.com/dist/article.js	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:27	56911/56911	---M-Z	200	added ('OK')	application/octet-stream	etag:%228641fc4ae11f8ba86a38f51b8f38a880%22	http://s.skimresources.com/js/143429X1608040.skimlinks.js	C:/HTTrack/time/s.skimresources.com/js/143429X1608040.skimlinks.js	(from https://time.com/6262154/arrests-iran-school-girl-poisonings/)
22:21:28	83/83	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2013%20Mar%202023%2002:21:26%20GMT	https://time.com/6262154/arrests-iran-school-girl-poisonings/GET	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/GET	(from http://s.ntv.io/serve/load.js)
22:21:28	129356/129356	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221f94c-xzTdftTk6OKtPsAQxbieoF2F6fc%22	https://time.com/6262154/arrests-iran-school-girl-poisonings/;path=/	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/;path=/index.html	(from http://s.ntv.io/serve/load.js)
22:21:29	129357/129357	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221f94d-J9lJeCM0ipooCYSmENYshEaBQwo%22	https://time.com/6262154/arrests-iran-school-girl-poisonings/proxyTracking/	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/proxyTracking/index.html	(from http://s.ntv.io/serve/load.js)
22:21:29	129357/129357	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221f94d-5+vOo1xOgW4gES6Ss5z5TCRPVKI%22	https://time.com/6262154/arrests-iran-school-girl-poisonings/GET/	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/GET/index.html	(from http://s.ntv.io/serve/load.js)
22:21:29	118/118	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2013%20Mar%202023%2002:21:27%20GMT	https://time.com/6262154/arrests-iran-school-girl-poisonings/L.applyProtocolToUrl(L.adBlockerDomain	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/L.applyProtocolToUrl(L.24.delayed	(from http://s.ntv.io/serve/load.js)
22:21:29	81/81	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2013%20Mar%202023%2002:21:28%20GMT	https://time.com/6262154/arrests-iran-school-girl-poisonings/n	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/n	(from http://s.ntv.io/serve/load.js)
22:21:30	129357/129357	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221f94d-niKSm5uHZPG9by42fCMV5Lt3MFY%22	https://time.com/6262154/arrests-iran-school-girl-poisonings/L.applyProtocolToUrl(L.adBlockerDomain/	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/L.applyProtocolToUrl(L.adBlockerDomain/index.html	(from http://s.ntv.io/serve/load.js)
22:21:30	188/188	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2002:21:28%20GMT	https://time.com/6262154/arrests-iran-school-girl-poisonings/e.src	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/e.src	(from http://s.ntv.io/serve/load.js)
22:21:33	129357/129357	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221f94d-h6lWZ2xNRJDr+H2rNfgvYHVyYf0%22	https://time.com/6262154/arrests-iran-school-girl-poisonings/n/	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/n/index.html	(from http://s.ntv.io/serve/load.js)
22:21:42	188/188	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2002:21:30%20GMT	https://time.com/6262154/arrests-iran-school-girl-poisonings/div.c	C:/HTTrack/time/time.com/6262154/arrests-iran-school-girl-poisonings/div.c	(from http://s.skimresources.com/js/143429X1608040.skimlinks.js)
22:21:47	388132/388132	---M--	200	added ('OK')	public,	etag:%22f3e9ea9058f13af3c378c09010db9552%22	http://s.ntv.io/js/prebid5.js	C:/HTTrack/time/s.ntv.io/js/prebid5.js	(from http://s.ntv.io/serve/load.js)
